2026-07-06 22:05:59,002 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:06:58,995 | INFO | spark_session | Creating Spark session
2026-07-06 22:07:05,898 | INFO | jobs.job_silver | Standardizing INMET Patrocínio data from ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:07:05,899 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:07:10,126 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:07:22,328 | INFO | spark_session | Creating Spark session
2026-07-06 22:07:30,349 | INFO | jobs.job_silver | Standardizing INMET Patrocínio data from ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:07:30,350 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:07:34,600 | INFO | py4j.clientserver | Closing down clientserver connection
2026-07-06 22:07:59,316 | INFO | spark_session | Creating Spark session
2026-07-06 22:08:06,538 | INFO | jobs.job_silver | Standardizing INMET Patrocínio data from ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:08:06,538 | INFO | pipeline | Reading Parquet file: ../storage/bronze/inmet/patrocinio/inmet_patrocinio.parquet
2026-07-06 22:08:10,547 | INFO | py4j.clientserver | Closing down clientserver connection
